"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 30 06:48:01 UTC 2024","Tue Apr 30 06:48:03 UTC 2024","2368","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"passed","Tue Apr 30 06:35:13 UTC 2024","Tue Apr 30 06:35:16 UTC 2024","2409","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"skipped","Tue Apr 30 06:19:43 UTC 2024","Tue Apr 30 06:19:43 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"failed","Tue Apr 30 06:23:36 UTC 2024","Tue Apr 30 06:23:54 UTC 2024","18585","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Tue Apr 30 06:01:19 UTC 2024","Tue Apr 30 06:01:20 UTC 2024","1841","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Tue Apr 30 06:35:18 UTC 2024","Tue Apr 30 06:35:21 UTC 2024","2231","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"skipped","Tue Apr 30 08:18:25 UTC 2024","Tue Apr 30 08:18:25 UTC 2024","1","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Tue Apr 30 06:35:03 UTC 2024","Tue Apr 30 06:35:13 UTC 2024","10039","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Tue Apr 30 05:58:29 UTC 2024","Tue Apr 30 05:58:47 UTC 2024","17367","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Tue Apr 30 05:37:42 UTC 2024","Tue Apr 30 05:38:47 UTC 2024","65349","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Tue Apr 30 06:40:53 UTC 2024","Tue Apr 30 06:41:07 UTC 2024","14614","","18. Check Admin header","","","","1. Log in using manager login",""
"failed","Tue Apr 30 06:35:59 UTC 2024","Tue Apr 30 06:38:31 UTC 2024","152082","","16. Nucleus Wealth Wordpress Site","","","","10. Check wordpress image uploaded date",""
"passed","Tue Apr 30 05:59:05 UTC 2024","Tue Apr 30 05:59:29 UTC 2024","24897","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"skipped","Tue Apr 30 05:56:25 UTC 2024","Tue Apr 30 05:56:25 UTC 2024","1","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Tue Apr 30 06:35:37 UTC 2024","Tue Apr 30 06:35:49 UTC 2024","11371","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"broken","Tue Apr 30 08:18:25 UTC 2024","Tue Apr 30 08:18:25 UTC 2024","2","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"passed","Tue Apr 30 06:35:16 UTC 2024","Tue Apr 30 06:35:18 UTC 2024","2809","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"skipped","Tue Apr 30 08:18:25 UTC 2024","Tue Apr 30 08:18:25 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","2. Direct user to “Investment Choice”",""
"passed","Tue Apr 30 06:41:08 UTC 2024","Tue Apr 30 06:45:24 UTC 2024","256806","","18. Check Admin header","","","","2. Check Navbar",""
"skipped","Tue Apr 30 05:56:25 UTC 2024","Tue Apr 30 05:56:25 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"skipped","Tue Apr 30 08:18:25 UTC 2024","Tue Apr 30 08:18:25 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"passed","Tue Apr 30 06:01:20 UTC 2024","Tue Apr 30 06:01:25 UTC 2024","4856","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"broken","Tue Apr 30 05:56:25 UTC 2024","Tue Apr 30 05:56:25 UTC 2024","2","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"broken","Tue Apr 30 06:19:43 UTC 2024","Tue Apr 30 06:19:43 UTC 2024","1","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Tue Apr 30 05:40:20 UTC 2024","Tue Apr 30 05:40:34 UTC 2024","14652","","9. Client Portal - Home","","","","1. Check links",""
"skipped","Tue Apr 30 08:18:25 UTC 2024","Tue Apr 30 08:18:25 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Tue Apr 30 06:01:05 UTC 2024","Tue Apr 30 06:01:18 UTC 2024","13923","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"skipped","Tue Apr 30 05:56:25 UTC 2024","Tue Apr 30 05:56:25 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"passed","Tue Apr 30 07:21:43 UTC 2024","Tue Apr 30 07:21:50 UTC 2024","7128","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Tue Apr 30 06:47:38 UTC 2024","Tue Apr 30 06:47:51 UTC 2024","13576","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"skipped","Tue Apr 30 05:56:25 UTC 2024","Tue Apr 30 05:56:25 UTC 2024","0","","10. Client Portal - Account Dashboard","","","","2. Overall asset summary panel",""
"passed","Tue Apr 30 06:35:21 UTC 2024","Tue Apr 30 06:35:25 UTC 2024","4523","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"passed","Tue Apr 30 06:48:03 UTC 2024","Tue Apr 30 06:48:08 UTC 2024","4242","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Tue Apr 30 05:59:04 UTC 2024","Tue Apr 30 05:59:05 UTC 2024","262","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
